"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","LOCATION","LAT","LON","Time.to.reports","Delayed_Report","Time_Slots_Happening","Weekdays_of_DateOcc"
210717089,2021-12-23,2021-12-22,1637,7,"Wilshire",719,2,624,"BATTERY - SIMPLE ASSAULT",62,"F","W",108,"PARKING LOT","IC","Invest Cont","5800    MELROSE                      AV",34.0835,-118.327,1,"0","Afternoon","Wednesday"
231910744,2023-06-21,2023-06-20,830,19,"Mission",1969,2,624,"BATTERY - SIMPLE ASSAULT",71,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","9600    STANWIN                      AV",34.2444,-118.4302,1,"0","Morning","Tuesday"
201820780,2020-11-18,2020-11-18,1530,18,"Southeast",1822,2,624,"BATTERY - SIMPLE ASSAULT",19,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","400 W  102ND                        ST",33.9437,-118.282,0,"0","Afternoon","Wednesday"
201906105,2020-02-12,2020-02-12,820,19,"Mission",1934,2,624,"BATTERY - SIMPLE ASSAULT",40,"M","H",101,"STREET","IC","Invest Cont","SAN FERNANDO",34.2747,-118.4696,0,"0","Morning","Wednesday"
202112299,2020-08-03,2020-08-03,1300,21,"Topanga",2113,2,624,"BATTERY - SIMPLE ASSAULT",7,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","7800    PONCE                        AV",34.2119,-118.6214,0,"0","Afternoon","Monday"
202014635,2020-09-06,2020-09-06,1620,20,"Olympic",2017,2,624,"BATTERY - SIMPLE ASSAULT",29,"M","H",101,"STREET","IC","Invest Cont","4TH",34.0709,-118.2941,0,"0","Afternoon","Sunday"
231508622,2023-04-20,2023-04-20,940,15,"N Hollywood",1545,2,624,"BATTERY - SIMPLE ASSAULT",35,"M","B",103,"ALLEY","IC","Invest Cont","5300    LAUREL CANYON                BL",34.1667,-118.3965,0,"0","Morning","Thursday"
230216156,2023-08-26,2023-08-26,2140,2,"Rampart",265,2,624,"BATTERY - SIMPLE ASSAULT",39,"M","H",101,"STREET","IC","Invest Cont","2100 W  7TH                          ST",34.0565,-118.2768,0,"0","Evening","Saturday"
201607574,2020-03-30,2020-03-29,1655,16,"Foothill",1621,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","13800    JUDD                         ST",34.2615,-118.4335,1,"0","Afternoon","Sunday"
221112296,2022-08-03,2022-08-03,1910,11,"Northeast",1162,2,624,"BATTERY - SIMPLE ASSAULT",41,"F","W",701,"HOSPITAL","IC","Invest Cont","1300 N  VERMONT                      AV",34.0956,-118.2918,0,"0","Evening","Wednesday"
201225930,2020-12-07,2020-12-07,500,12,"77th Street",1248,2,624,"BATTERY - SIMPLE ASSAULT",64,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","800 W  65TH                         ST",33.9801,-118.2871,0,"0","Morning","Monday"
241005791,2024-02-20,2024-02-20,945,10,"West Valley",1008,2,624,"BATTERY - SIMPLE ASSAULT",25,"M","H",102,"SIDEWALK","IC","Invest Cont","6600    ODESSA                       AV",34.1903,-118.4902,0,"0","Morning","Tuesday"
220410029,2022-06-20,2022-06-20,600,4,"Hollenbeck",448,2,624,"BATTERY - SIMPLE ASSAULT",49,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","1500 N  EVERGREEN                    AV",34.0591,-118.1939,0,"0","Morning","Monday"
210315627,2021-09-09,2021-09-09,1500,3,"Southwest",396,2,624,"BATTERY - SIMPLE ASSAULT",31,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","800 W  43RD                         ST",34.0055,-118.2894,0,"0","Afternoon","Thursday"
201317214,2020-09-18,2020-09-18,1430,13,"Newton",1351,2,624,"BATTERY - SIMPLE ASSAULT",23,"M","H",101,"STREET","AO","Adult Other","BROADWAY                     ST",34.0038,-118.2784,0,"0","Afternoon","Friday"
200913097,2020-08-04,2020-08-04,1125,9,"Van Nuys",935,2,624,"BATTERY - SIMPLE ASSAULT",82,"F","H",121,"YARD (RESIDENTIAL/BUSINESS)","AO","Adult Other","14200    CALVERT                      ST",34.1817,-118.4422,0,"0","Morning","Tuesday"
200606588,2020-02-21,2020-02-21,900,6,"Hollywood",648,2,624,"BATTERY - SIMPLE ASSAULT",57,"M","W",101,"STREET","IC","Invest Cont","BRONSON",34.1,-118.3113,0,"0","Morning","Friday"
231917721,2023-12-12,2023-12-11,740,19,"Mission",1999,2,624,"BATTERY - SIMPLE ASSAULT",26,"M","H",101,"STREET","IC","Invest Cont","STRATHERN                    ST",34.2153,-118.4309,1,"0","Morning","Monday"
232107920,2023-04-15,2023-04-15,2000,21,"Topanga",2157,2,624,"BATTERY - SIMPLE ASSAULT",60,"F","W",109,"PARK/PLAYGROUND","IC","Invest Cont","21200    KITTRIDGE                    ST",34.1913,-118.5942,0,"0","Evening","Saturday"
230608090,2023-04-06,2023-04-06,1220,6,"Hollywood",636,2,624,"BATTERY - SIMPLE ASSAULT",34,"M","H",108,"PARKING LOT","IC","Invest Cont","1700 N  CAHUENGA                     BL",34.1016,-118.3295,0,"0","Afternoon","Thursday"
201411241,2020-05-21,2020-05-21,1900,14,"Pacific",1432,2,624,"BATTERY - SIMPLE ASSAULT",37,"M","W",119,"PORCH, RESIDENTIAL","IC","Invest Cont","900    VICTORIA                     AV",33.9938,-118.4557,0,"0","Evening","Thursday"
200117026,2020-08-27,2020-08-27,1320,1,"Central",148,2,624,"BATTERY - SIMPLE ASSAULT",37,"F","B",102,"SIDEWALK","IC","Invest Cont","400 S  SAN PEDRO                    ST",34.0455,-118.2432,0,"0","Afternoon","Thursday"
230705843,2023-02-10,2023-02-10,2257,7,"Wilshire",759,2,624,"BATTERY - SIMPLE ASSAULT",25,"M","W",101,"STREET","IC","Invest Cont","NORTON",34.0476,-118.3238,0,"0","Evening","Friday"
201815706,2020-08-14,2020-08-14,1700,18,"Southeast",1802,2,624,"BATTERY - SIMPLE ASSAULT",29,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","200 W  89TH                         ST",33.9555,-118.2767,0,"0","Afternoon","Friday"
221224224,2022-11-25,2022-11-25,1000,12,"77th Street",1243,2,624,"BATTERY - SIMPLE ASSAULT",11,"F","H",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest","1800 W  69TH                         ST",33.977,-118.309,0,"0","Morning","Friday"
210614397,2021-08-16,2021-08-16,1325,6,"Hollywood",643,2,624,"BATTERY - SIMPLE ASSAULT",61,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","1700    CAMINO PALMERO               ST",34.1016,-118.35,0,"0","Afternoon","Monday"
231408949,2023-04-19,2023-04-19,945,14,"Pacific",1494,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","O",212,"TRANSPORTATION FACILITY (AIRPORT)","IC","Invest Cont","500    WORLD                        WY",33.9427,-118.4049,0,"0","Morning","Wednesday"
211014994,2021-11-26,2021-11-26,1800,10,"West Valley",1035,2,624,"BATTERY - SIMPLE ASSAULT",27,"M","H",101,"STREET","IC","Invest Cont","ETIWANDA                     AV",34.1903,-118.5317,0,"0","Afternoon","Friday"
230410455,2023-07-16,2023-07-16,1035,4,"Hollenbeck",409,2,624,"BATTERY - SIMPLE ASSAULT",38,"F","H",104,"DRIVEWAY","AO","Adult Other","3900    GUARDIA                      AV",34.0898,-118.17,0,"0","Morning","Sunday"
230104081,2023-01-02,2023-01-02,340,1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT",68,"M","B",801,"MTA BUS","IC","Invest Cont","CESAR E CHAVEZ",34.0578,-118.2359,0,"0","Midnight","Monday"
210817679,2021-12-16,2021-12-16,1620,8,"West LA",817,2,624,"BATTERY - SIMPLE ASSAULT",28,"M","W",203,"OTHER BUSINESS","IC","Invest Cont","10900    WEYBURN                      AV",34.0626,-118.4454,0,"0","Afternoon","Thursday"
230115128,2023-06-30,2023-06-30,1753,1,"Central",154,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","B",101,"STREET","AO","Adult Other","5TH",34.0474,-118.2496,0,"0","Afternoon","Friday"
210211483,2021-07-04,2021-07-04,140,2,"Rampart",257,2,624,"BATTERY - SIMPLE ASSAULT",19,"F","H",108,"PARKING LOT","IC","Invest Cont","1500 W  6TH                          ST",34.0566,-118.2681,0,"0","Midnight","Sunday"
200316029,2020-08-19,2020-08-19,2215,3,"Southwest",312,2,624,"BATTERY - SIMPLE ASSAULT",30,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","2600 S  REDONDO                      BL",34.0301,-118.3573,0,"0","Evening","Wednesday"
221908550,2022-04-21,2022-04-21,2100,19,"Mission",1921,2,624,"BATTERY - SIMPLE ASSAULT",38,"F","H",102,"SIDEWALK","IC","Invest Cont","12800    ENCINITAS                    AV",34.3024,-118.477,0,"0","Evening","Thursday"
210107350,2021-03-11,2021-03-11,1800,1,"Central",158,2,624,"BATTERY - SIMPLE ASSAULT",58,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","800 E  6TH                          ST",34.0407,-118.2427,0,"0","Afternoon","Thursday"
230500938,2023-12-10,2023-12-10,330,5,"Harbor",504,2,624,"BATTERY - SIMPLE ASSAULT",19,"M","H",101,"STREET","IC","Invest Cont","1500 W  208TH                        ST",33.8419,-118.3042,0,"0","Midnight","Sunday"
241204898,2024-01-14,2024-01-14,2120,12,"77th Street",1269,2,624,"BATTERY - SIMPLE ASSAULT",21,"M","H",108,"PARKING LOT","IC","Invest Cont","800 E  MANCHESTER                   AV",33.9638,-118.2629,0,"0","Evening","Sunday"
201816245,2020-08-26,2020-08-21,920,18,"Southeast",1837,2,624,"BATTERY - SIMPLE ASSAULT",26,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","1800 E  107TH                        ST",33.939,-118.239,5,"1","Morning","Friday"
202107197,2020-03-10,2020-03-10,2000,21,"Topanga",2139,2,624,"BATTERY - SIMPLE ASSAULT",20,"M","H",104,"DRIVEWAY","IC","Invest Cont","20100    SATICOY                      ST",34.2084,-118.571,0,"0","Evening","Tuesday"
232006533,2023-02-28,2023-02-28,1830,20,"Olympic",2088,2,624,"BATTERY - SIMPLE ASSAULT",66,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","1700    MENLO                        AV",34.0427,-118.2906,0,"0","Afternoon","Tuesday"
222015403,2022-09-13,2022-09-13,900,20,"Olympic",2056,2,624,"BATTERY - SIMPLE ASSAULT",40,"F","H",210,"RESTAURANT/FAST FOOD","IC","Invest Cont","1100 S  VERMONT                      AV",34.0509,-118.2937,0,"0","Morning","Tuesday"
231812906,2023-07-03,2023-07-03,2200,18,"Southeast",1844,2,624,"BATTERY - SIMPLE ASSAULT",48,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","400 E  111TH                        PL",33.9339,-118.2674,0,"0","Evening","Monday"
221226027,2022-12-26,2022-12-26,1320,12,"77th Street",1253,2,624,"BATTERY - SIMPLE ASSAULT",27,"M","H",203,"OTHER BUSINESS","IC","Invest Cont","7300 S  WESTERN                      AV",33.9737,-118.309,0,"0","Afternoon","Monday"
222106238,2022-02-28,2022-02-28,725,21,"Topanga",2107,2,624,"BATTERY - SIMPLE ASSAULT",40,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest","21300    PARTHENIA                    ST",34.2282,-118.5951,0,"0","Morning","Monday"
231221899,2023-10-23,2023-10-23,2000,12,"77th Street",1219,2,624,"BATTERY - SIMPLE ASSAULT",39,"F","B",501,"SINGLE FAMILY DWELLING","JO","Juv Other","400 W  55TH                         ST",33.9924,-118.281,0,"0","Evening","Monday"
201113075,2020-08-31,2020-07-31,2300,11,"Northeast",1189,2,624,"BATTERY - SIMPLE ASSAULT",49,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","3500    MARMION                      WY",34.0871,-118.2141,31,"1","Evening","Friday"
231900657,2023-03-24,2023-03-24,1530,19,"Mission",1908,2,624,"BATTERY - SIMPLE ASSAULT",72,"M","H",510,"NURSING/CONVALESCENT/RETIREMENT HOME","IC","Invest Cont","12800    MACLAY                       ST",34.3047,-118.4121,0,"0","Afternoon","Friday"
220314962,2022-08-11,2022-08-11,1030,3,"Southwest",394,2,624,"BATTERY - SIMPLE ASSAULT",71,"M","B",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest","4200    2ND                          AV",34.0072,-118.3193,0,"0","Morning","Thursday"
201821560,2020-12-02,2020-12-02,1140,18,"Southeast",1822,2,624,"BATTERY - SIMPLE ASSAULT",44,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","9300 S  FIGUEROA                     ST",33.951,-118.2827,0,"0","Morning","Wednesday"
202000704,2020-09-05,2020-09-05,2240,20,"Olympic",2073,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","H",101,"STREET","AO","Adult Other","3000 W  PICO                         BL",34.0472,-118.3063,0,"0","Evening","Saturday"
220517177,2022-12-18,2022-12-18,830,5,"Harbor",504,2,624,"BATTERY - SIMPLE ASSAULT",61,"F","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other","1500 W  207TH                        ST",33.8429,-118.304,0,"0","Morning","Sunday"
201907005,2020-02-29,2020-02-29,2300,19,"Mission",1964,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","14700    GLEDHILL                     ST",34.2414,-118.4535,0,"0","Evening","Saturday"
200119949,2020-10-25,2020-10-25,240,1,"Central",157,2,624,"BATTERY - SIMPLE ASSAULT",61,"M","H",517,"MISSIONS/SHELTERS","IC","Invest Cont","500    CROCKER                      ST",34.0432,-118.2431,0,"0","Midnight","Sunday"
221609744,2022-06-22,2022-06-22,2115,16,"Foothill",1613,2,624,"BATTERY - SIMPLE ASSAULT",29,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","12700    VAN NUYS                     BL",34.2755,-118.4092,0,"0","Evening","Wednesday"
211005053,2021-02-03,2021-02-03,2230,10,"West Valley",1011,2,624,"BATTERY - SIMPLE ASSAULT",58,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","19600    SHERMAN                      WY",34.2012,-118.5588,0,"0","Evening","Wednesday"
201816814,2020-09-06,2020-09-06,2040,18,"Southeast",1805,2,624,"BATTERY - SIMPLE ASSAULT",63,"F","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","200 E  92ND                         ST",33.9529,-118.2717,0,"0","Evening","Sunday"
201511234,2020-06-12,2020-06-12,2245,15,"N Hollywood",1514,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","11900    VANOWEN                      ST",34.194,-118.3921,0,"0","Evening","Friday"
221910151,2022-05-30,2022-05-30,1120,19,"Mission",1994,2,624,"BATTERY - SIMPLE ASSAULT",32,"F","F",101,"STREET","AO","Adult Other","ROSCOE",34.2215,-118.4517,0,"0","Morning","Monday"
